Name,type,Program sponsor,website
Strategic Partners,Partnership,Foundation,
CT Semiconductor ,Sponsorship,Webinar,https://ctsemiconductor.com/
Viettel Semi,Sponsorship,Webinar,https://www.linkedin.com/company/viettel-semicon/about/
Cake,Sponsorship,Webinar,https://www.cake.me/
NIC,Partnership,Foundation,https://nic.gov.vn/
Saigon HI-Tech Park,Partnership,Foundation,https://shtp.hochiminhcity.gov.vn/en/
AI for Vietnam Foundation,Partnership,Foundation,https://www.aiforvietnam.org/
STEAM For Vietnam,Partnership,Foundation,https://www.steamforvietnam.org/en
Tresemi,Partnership,Foundation,https://www.tresemi.org/
Hub Network,Partnership,Foundation,https://1hub.network/
S World,Partnership,Foundation,https://s-worldmedia.com/
Phenikaa,Partnership,Webinar,https://phenikaa-uni.edu.vn/en
BK Hà Nội,Partnership,Webinar,https://hust.edu.vn/vi/
BK TPHCM,Partnership,Webinar,https://hcmut.edu.vn/
Đại học Huế,Partnership,Webinar,https://hueuni.edu.vn/portal/vi/
ĐH Công Nghệ Kỹ Thuật TPHCM,Partnership,Webinar,https://hcmute.edu.vn/
bưu chính viễn thông,Partnership,Webinar,https://tuyensinh.ptit.edu.vn/
Marvell Technology,Sponsorship,Cất Cánh Fellowship,https://www.marvell.com/
VietHope,Partnership,Foundation,https://viethope.org/
Association of Vietnamese Professionals and Students in the United States (VPS),Partnership,Foundation,https://vpsusa.org/
Viet Spark,Partnership,Foundation,https://www.vietspark.org/
Vietnam AI Stars,Partnership,Foundation,https://www.vietnamaistars.org/
Cộng đồng Vi mạch Việt Nam,Partnership,Foundation,https://www.facebook.com/groups/vimachvn/
DSAC - Trung tâm Nghiên cứu & Đào tạo Thiết kế Vi mạch & AI Đà Nẵng,Partnership,Partnership,https://dsac.danang.gov.vn/
VietBay,Partnership,Foundation,https://www.vietbay.group/
